Time,Time.h,ln.S,Temp
0,0,0,4
10080,168,-0.7494845504,4
20160,336,-0.6216511789,4
30240,504,-1.6433024264,4
40320,672,-1.4426317309,4
0,0,0,22
10080,168,-4.8761644932,22
20160,336,-6.4307941692,22
30240,504,-7.5096038305,22
40320,672,-10.2782786535,22
0,0,0,56
10,0.166666666666667,-7.4160777725,56
20,0.333333333333333,-10.2475069948,56
30,0.5,-12.5202391246,56
40,0.666666666666667,-13.8493750719,56
50,0.833333333333333,-13.9797368898,56
60,1,-14.2060500159,56
70,1.16666666666667,-14.2060500159,56
